代码,名称,副名称,特性,正文,风味文本,背面名称,背面副名称,背面特性,背面正文,背面风味文本,
1118,食肉者,,类人. 怪物. 食尸鬼,<b>生成</b> - 阁楼。,一只可怖的怪物正在啃食阁楼上的腐烂死尸。,,,,,,
1119,冰封食尸鬼,,类人. 怪物. 食尸鬼,<b>生成</b> - 地窖。,房屋下的隧道中，一只硕大的野兽破冰而出。它全身覆盖着一层厚实的冰霜，呼出的热气在严寒中清晰可见。,,,,,,
1120,午夜假面,,,"<b>简单/普通</b>
    [skull]：-X为场上毁灭标记最多的[[异教徒]]敌人上的毁灭标记数。
    [cultist]：-2。在最近的一个[[异教徒]]敌人上放置1个毁灭标记。
    [tablet]：-3。如果你检定失败，将你的1个线索放到你所在地点。",,,,,"<b>困难/专家</b>
    [skull]：-X。X为场上的毁灭标记总数。
    [cultist]：-2。在每个[[异教徒]]敌人上放置1个毁灭标记。如果场上没有[[异教徒]]敌人，揭示另一个标记。
    [tablet]：-4。如果你检定失败，将你所有的线索放到你所在地点。",,
01121a,猎人还是猎物？,,,[action]：<b>撤退</b>。你不愿冒险多做停留，带着收集的信息去往安全之处。,丽塔似乎坚信阿卡姆城中正酝酿着一个阴谋。她相信有一个隐秘的异教正服侍着地下洞穴中的食尸鬼，而异教几名重要的成员正散居在阿卡姆城各处。你开始搜寻他们，却不由地感到自己也正在被某个东西追捕。,,,,,,
01121b,假面猎手,无息的跟踪者,类人. 异教徒. 精英,"<b>生成</b> - 与猎物交战。
    <b>猎物</b> - 线索最多。
    猎手。
    每有一位调查员，假面猎手得到+2生命。
    你与假面猎手交战时，不能发现或花费线索。",,,,,,,
1122,时间飞逝,,,[action]：<b>撤退</b>。你不愿冒险多做停留，带着收集的信息去往安全之处。,你们的调查在继续，而时间一分一秒地逝去。,午夜的钟声业已敲响,,,<b>(→结局2)</b>,十二声钟鸣响彻阿卡姆。午夜已至。没有时间继续在城中调查了：你没能找到所有的异教徒，你必须依照现有信息开展行动。,
1123,揭露阴谋,,,"[action]：调查员共同花费2[per_investigator]个线索：抽取异教徒牌库顶的卡牌。
    <b>目标</b> - 找到尽可能多的独特[[异教徒]]敌人并将其加入胜利区。如果胜利区中有6个独特[[异教徒]]敌人，推进。(注：并不是全部6人都在异教徒牌库中。)",你只有这一个晚上来寻找异教成员并揭露他们的计划。你找到并盘问的异教成员越多越好。,水落石出,,,<b>(→结局1)</b>,你们成功地揭露了阿卡姆城中所有异教高级成员的身份。那名在城中各处潜随你的男子已献身邪恶，而墓地管理员赫尔曼也同样如此。但其他人似乎是被迫帮助异教。殓葬师露丝被告知，如果她不向食尸鬼提供新鲜的尸体，她的家人将遭杀害。谢天谢地，你设法帮她安全逃离了医院。你说服了彼得教授，使他明白和异教的牵连恶多于善。维多利亚对于密教器物的痴迷令她深陷于邪教的罗网。你在疯人院遇到德鲁的时候，他攻击了你——但他这么做是因为把你也误当成了异教的一员。随着你们对密谋的深入探索，事情变得越发明了：它摧毁了许多人的生活。,
1124,你的房子,,阿卡姆,"<b>强制</b> - 在食尸鬼祭司生成时：改为将其生成在此处，而非通常地点。
    [action]：抽取1张卡牌并获得1资源。(每回合仅限一次)。",你对回家还是有点胆战心惊。,,,,,即使发生了这一切，你仍然无法亲手摧毁自己的家。,
1125,河岸城,,阿卡姆. 中心,,今晚，米斯卡塔尼克河的水面有些异样。泛起的涟漪和涌出的气泡暗示着水下有东西在移动。,,,,,米斯卡塔尼克河的两岸排列着诸多码头、仓库，和小店，这片地方叫河岸城真是名副其实。,
1126,南区,历史协会,阿卡姆,[action]：抽取3张卡牌。(每场游戏仅限一次),历史协会坐落在一座乔治亚风格的豪宅内。该豪宅以其私人图书馆闻名，里面的本地记录、地图，以及来自阿卡姆的过去的工艺品无不暗示着不应被打扰的秘密。,,,,,南区的街道旁满是复斜屋顶的中产之家。这片街区以其文化和社会地标而闻名，其中包括南区教堂、老马旅社和历史协会。,
1127,南区,老马旅社,阿卡姆,[action]：查找你的牌库，找出一张[[盟友]]支援并将其加入你的手牌。混洗你的牌库。(每场游戏仅限一次),老马旅社以其廉价客房和“周一神秘肉”而闻名。从早到晚，各色人等在这里来来往往。,,,,,南区的街道旁满是复斜屋顶的中产之家。这片街区以其文化和社会地标而闻名，其中包括南区教堂、老马旅社和历史协会。,
1128,圣玛丽医院,,阿卡姆,[action]：治愈3点伤害。(每场游戏仅限一次),在圣玛丽医院久留有利于恢复身体健康，但对于精神的影响就不得而知了。,,,,,圣玛丽医院是阿卡姆唯一的医院，24小时接待室整夜忙碌。由于近来发生的事件，莫蒂莫尔医生和莎隆护士近期的工作格外紧张。,
1129,米斯卡塔尼克大学,,阿卡姆,[action]：查找你牌库顶的6张卡牌，找出1张[[书籍]]或者[[法术]]卡牌，将其加入你的手牌。混洗你的牌库。,校园安静而孤寂。有几座建筑不会上锁，学生与教师在其中工作到深夜。,,,,,米斯卡塔尼克大学是东北地区最富盛名的学府之一。大学图书馆因其神秘学书籍的收藏而闻名于世，由受人尊敬的亨利·阿米蒂奇博士管理维护。,
1130,商业区,阿卡姆第一银行,阿卡姆,[action]：获得3资源。(每场游戏仅限一次),我们将这称作一笔“贷款”。,,,,,阿卡姆城的商业区坐落着大量政府建筑，包括市政厅在内。阿卡姆第一银行、独立广场、阿卡姆疯人院也位于这个区域。这里是最为繁忙的城区。,
1131,商业区,阿卡姆疯人院,阿卡姆,[action]：治愈3点恐惧。(每场游戏仅限一次),这里是心智的避难所，还是灵魂的牢笼？,,,,,阿卡姆城的商业区坐落着大量政府建筑，包括市政厅在内。阿卡姆第一银行、独立广场、阿卡姆疯人院也位于这个区域。这里是最为繁忙的城区。,
1132,东城区,,阿卡姆,你位于东城区时，你打出每张[[盟友]]支援的费用-2。,,,,,,东城区位于米斯卡塔尼克河的北岸，这里是底层人民的居所，还坐落着阿卡姆警察局以及维尔玛小餐馆这样的人气食肆。,
1133,墓地,,阿卡姆,<b>强制</b> - 你进入墓地后：检定[willpower](3)。如果你检定失败，你必须受到2点恐惧或移动到河岸城。,,,,,,墓地坐落在法兰西山的山脚下。部分墓碑可以追溯至17世纪。第一批殖民者在那时踏上了阿卡姆的大地。鉴于在你家中发生的一切，你不太乐意前往那里。,
1134,北区,,阿卡姆,[action] 花费5资源：从供应堆获得2个线索。(每场游戏团队仅限一次),在北区，一点小钱就能让人无所不言。,,,,,北区是阿卡姆的商贸区，坐落着大量办公室和工厂，火车站也在这里。,
1135,追猎鬼影,,诅咒,"险境。
    <b>显现</b> - 你必须(选择以下一项)：花费1个线索或受到2点伤害。",一个鬼魅般的人影在雨中跟踪你。你回头注视它，却突然头痛欲裂，视线模糊。,,,,,,
1136,错误指示,,,<b>显现</b> - 如果你没有线索，错误指示获得涌动。如果你有至少1个线索，检定[intellect](4)。你检定失败且每低于难度1点，将你的1个线索放到你所在地点。,,,,,,,
1137,“狼人”德鲁,食人狂,类人. 异教徒,"<b>生成</b> - 商业区。
    <b>强制</b> - 在“狼人”德鲁攻击时：治愈他1点伤害。",德鲁是一名阿卡姆疯人院的长期病患。有传闻说他在数年前因食人而被锁了起来。他被认为极度危险.,,,,,,
1138,赫尔曼·柯林斯,墓地管理员,类人. 异教徒,"<b>生成</b> - 墓地。
    [action] 从你的手中选择并弃掉4张卡牌：<b>谈判</b>。将赫尔曼·柯林斯加入胜利区。",当地墓地的管理员一直在陵墓之下挖掘奇怪的隧道……他的目的是什么？,,,,,,
1139,彼得·沃伦,神秘学教授,类人. 异教徒. 米斯卡塔尼克,"<b>生成</b> - 米斯卡塔尼克大学。
    [action] 花费2个线索：<b>谈判</b>。将彼得·沃伦加入胜利区。",这位神秘学教授一直在阅读关于食人禁忌的怪异书籍。或许他知晓一些我们所不知道的事情？,,,,,,
1140,维多利亚·德佛罗,收藏家,类人. 异教徒,"<b>生成</b> - 北区。
    [action] 花费5资源：<b>谈判</b>。将维多利亚·德佛罗加入胜利区。",奥利弗·托马斯，珍品店的店主，告知你们，一名新顾客对一副神秘的面具格外感兴趣……,,,,,,
1141,露丝·特纳,殓葬师,类人. 异教徒,"<b>生成</b> - 圣玛丽医院。
    <b>强制</b> - 躲避露丝·特纳后：将她加入胜利区。",停尸房的尸体常常不翼而飞。或许圣玛丽医院的殓葬师与此事有关。,,,,,,
1142,地底噬魔,,,"<b>简单/普通</b>
    [skull]：-X。X为位于场上[[怪物]]敌人的数量。
    [cultist]：-2。在最近的一个敌人上放置1个毁灭标记。
    [tablet]：-3。如果你所在地点有[[怪物]]敌人，受到1点伤害。
    [elder_thing]：-5。如果场上有[[古神]]敌人，揭示另一个标记。",,,,,"<b>困难/专家</b>
    [skull]：-3。如果你检定失败，在本次技能检定后，查找遭遇牌库及弃牌堆，找出一个[[怪物]]敌人，将其抽取。混洗遭遇牌库。
    [cultist]：-4。在最近的一个敌人上放置2个毁灭标记。
    [tablet]：-5。如果你所在地点有[[怪物]]敌人，受到1点伤害和1点恐惧。
    [elder_thing]：-7.如果场上有[[古神]]敌人，揭示另一个标记。",,
1143,阿卡姆密林,,,,通过审问阿卡姆城中参与阴谋的异教成员，你得知异教徒即将进行一种复仇仪式，以报复有人摧毁了他们主人的巢穴。你跨入阿卡姆郊外的密林，试图阻止他们。一种死寂笼罩着树林，寒冷异常。,闯入者必死,,,将遭遇弃牌堆混洗入遭遇牌库，并从遭遇牌库顶弃牌，直到弃掉1个[[怪物]]敌人。在主道路生成该敌人。然后，在该敌人上放置1个毁灭标记。,"一种尖啸般的嚎叫声在林中回荡。恐怖的声音从密林深处回应着呼唤，绝非人类，却如犬吠，甚至清晰可辨，重复着同一个名字：
    “乌默尔多斯……乌默尔多斯……乌默尔多斯……",
1144,仪式开始,,,每个敌人得到+1攻击与+1躲避。,"“乌默尔多斯……乌默尔多斯……乌默尔多斯……”
    吟唱声越发响亮，在夜间寒冷的空气中回荡。夜空中仅有的些许云朵都聚集在了阿卡姆密林的上空，遮盖了群星的微光。",乌默尔多斯的意志,,,以玩家顺序，每位调查员必须检定[willpower](6)。每位检定失败的调查员必须查找收藏，随机找出1张基础[[疯狂]]弱点，并加入自己手牌。,黑暗之物已靠近，无形的重压袭来，你不由地跪倒在地。某种可怕的力量正要侵入你的心智与灵魂。强烈的感官灼烧你全身，你的喉咙紧锁，双眼湿润。,
1145,复仇开始,,,"<b>强制</b> - 在本密谋推进时：
    - 如果调查员处于场景1，将放在一边的仪式地放置入场，在该地点生成放在一边的乌默尔多斯。
    - 如果调查员处于场景2或3，弃掉仪式地上的所有敌人，在该地点生成放在一边的乌默尔多斯。",仪式接近尾声，世界已开始变化。空气越发凛冽，整个森林覆盖上了白霜。树木反常地弯曲着，影子伸展出诡异的形状。,地底噬魔,,,"<b>显现</b> - 以地底噬魔替代当前场景与密谋。本卡牌既是当前场景也是当前密谋。
    <b>目标</b> - 如果乌默尔多斯被击败，<b>(→结局2)</b>。",,
1146,顺藤摸瓜,,,,收集的信息指引你来到阿卡姆城南边的密林中，你相信召唤某种名为“乌默尔多斯”的怪物的仪式将在这里进行。你坚定决心，踏入密林更深处，希望能找到进行仪式的场所。,揭露阴谋,,,"如果仪式地不在场上，将放在一边的仪式地放置入场。
    查找收藏，找出每个记录在剧本日志中“未落网的异教徒”一栏的敌人，并将其生成在主道路。","你在森林各处发现了四散的图像和神秘印记一一刻在树皮上、凿在石面上、滴落在地上的血迹里。尽管这些文字无法解读，你发现它们大多面向南边。你顺着这些符号逶迤前行，终于在森林中最为黑暗寒冷的区域找到一处洞穴。
    你正欲前行，鬼魅般的人影由树后窜出，挡住了通向洞穴的路。",
1147,深入黑暗,,,<b>目标</b> - 如果有调查员进入仪式地，推进。,剩余的异教徒跟随你进入了密林，试图阻止你，眼下他们阻挡了你前进的道路。他们不祥的身姿矗立在悬垂的树木下，仿佛黑夜无声的哨兵。要想到达仪式场所，你必须击败他们，或从他们身边潜遁而过。,终末仪式,,,将遭遇弃牌堆混洗入遭遇牌库。从遭遇牌库顶弃牌，直到弃掉1个敌人(如果有3位或以上玩家进行游戏，则改为2个敌人)。将每个被弃掉的敌人生成在仪式地。,当你步入洞穴，空气变得寒冷，一股刺鼻的血腥与腐烂的气味直冲你的鼻腔。,
1148,阻止计划,,,"[action]花费1个线索：检定[willpower](3)或[agility](3)。如果你检定成功，在本场景上放置1个线索。
    <b>目标</b> - 如果本场景的线索数量等于调查员人数的2倍，推进。",异教徒进行仪式的场所是一处大型岩洞，藏在密林的黑暗角落。在洞穴的中央，石块与奥秘符文标记着烛火围成的圆形召唤阵。,破坏仪式,,,<b>(→结局1)</b>,你不惧反常的寒冷，迂回着穿越过奥秘符号组成的网络，终于跨入了圆阵之中。你踏灭了地上的标记，用尘土将其掩埋，破坏了光滑石块精心摆成的图案。一声尖锐的响声刺入你的耳膜，空气突然变暖，周遭的世界扭曲着变回了常态。,
1149,主道路,,树林,"主道路与其他每个[[树林]]地点连接。
    [action]：<b>撤退</b>。 “我们根本无法阻止他们！”你逃出了密林，将阿卡姆留给了它凄惨的命运。",,,,,,绞刑者河隔开了住宅区与阿卡姆南方的密林。过了小桥，你沿着主道路前往森林深处。,
1150,阿卡姆密林,邪恶之地,树林,<b>强制</b> - 在你进入本地点后：检定[willpower](4)。如果你检定失败，受到1点伤害和1点恐惧。,自从殖民者第一次进入本地区，整整两个世纪以来，这片空地一直被当作黑暗仪式的场所。,,,,,你从小就被告诫在夜间远离这座树林。现在你明白了原因。,
1151,阿卡姆密林,扭曲的道路,树林,<b>强制</b> - 在你离开本地点时：检定[intellect](3)。如果你检定失败，取消本次移动的效果。,林中道路扭曲旋转，仿佛如活物一般。,,,,,你从小就被告诫在夜间远离这座树林。现在你明白了原因。,
1152,阿卡姆密林,老屋,树林,在本地点调查改为使用[willpower]，而非尝试调查原本指示的技能。,一座爬满藤曼的屋子坐落在小道的边缘。屋内的墙壁和地板上血迹斑斑，散布着尘土、淤泥与被遗弃的骸骨。,,,,,你从小就被告诫在夜间远离这座树林。现在你明白了原因。,
1153,阿卡姆密林,悬崖边,树林,在本地点调查改为使用[agility]，而非尝试调查原本指示的技能。,你在附近一块高地之上遥望到异教徒活动的痕迹。要去到那块高地的顶端，你将不得不攀崖而上。,,,,,你从小就被告诫在夜间远离这座树林。现在你明白了原因。,
1154,阿卡姆密林,一团乱麻,树林,在本地点调查改为使用[combat]，而非尝试调查原本指示的技能。,一条殖民地时期的古老马道，十数载未被使用，早已是杂草丛生。,,,,,你从小就被告诫在夜间远离这座树林。现在你明白了原因。,
1155,阿卡姆密林,静谧空地,树林,[action]：治愈1点伤害或1点恐惧。(每回合仅限一次),若非这些妖魔鬼怪，这将是处野餐胜地。,,,,,你从小就被告诫在夜间远离这座树林。现在你明白了原因。,
1156,仪式地,,洞穴,<b>强制</b> - 当一轮结束时，如果仪式地上的线索数量少于调查员人数的2倍：在仪式地上增加线索，直到其数量等于调查员人数的2倍。,墙上符文闪烁，若隐若现，空气中凝结着死亡的气息。,,,,,一座寒冷黑暗洞穴的中央穴室，昏暗的烛光照亮了装点洞穴的奥秘标记。,
1157,乌默尔多斯,地底噬魔,古神. 精英,"猎手。庞大。
    乌默尔多斯得到+4[per_investigator]生命。
    <b>强制</b> - 当每位调查员的回合结束时：重整乌默尔多斯.
    [action]如果你控制丽塔·钱德勒：“这都是她的错！”你将丽塔抛向乌默尔多斯，希望它能饶了你一命。<b>(→结局3)</b>",,,,,,,
1158,乌默尔多斯的愤怒,,诅咒,<b>显现</b> - 检定[willpower](5)。你检定失败且每低于难度1点，你必须(选择一项)：选择并弃掉你手中1张卡牌，或者受到1点伤害和1点恐惧。,致命的寒意包围着你，试图吸走你的生命力。,,,,,,
1159,鼠群,,生物,猎手。,残酷的鼠群波浪般前进，翻卷着利爪，尖牙与斑驳的皮毛。,,,,,,
1160,食尸鬼爪牙,,类人. 怪物. 食尸鬼,,"这是一只硕大而无名的渎神之物。它那血红的眼睛怒目圆睁，骨瘦如柴的双爪上提着的东西曾是活人。它啃噬着头颅，如同一个蚕食棉花糖的孩童。
    <cite>H. P. 洛夫克拉夫特，《皮克曼的模特》</cite>",,,,,,
1161,饥饿的食尸鬼,,类人. 怪物. 食尸鬼,<b>猎物</b> - 剩余生命值最低。,这怪物的模样使人不禁自问：我们为活而吃，还是为吃而活？,,,,,,
1162,攫噬之手,,危险,<b>显现</b> - 检定[agility](3)。你检定失败且每低于难度1点，受到1点伤害。,腐烂的手臂从地下伸出，抓握你的脚踝。,,,,,,
1163,腐烂的尸体,,恐怖,<b>显现</b> - 检定[willpower](3)。你检定失败且每低于难度1点，受到1点恐惧。,鲜血淋漓的一幕让你恶心不已。你庆幸这受害者不是自己。,,,,,,
1164,呆若木鸡,,恐怖,"<b>显现</b> - 将呆若木鸡放置入场，放到你的威胁区域。
    你每轮第一次执行以下行动(移动、攻击、或躲避)之一，须支付额外1个行动。
    <b>强制</b> - 当你的回合结束时：检定[willpower](3)。如果你检定成功，弃掉呆若木鸡。",,,,,,,
1165,刺耳之声,,恐怖,"<b>显现</b> - 将刺耳之声放置入场，放到你的威胁区域。
    你不能打出支援或事件。
    <b>强制</b> - 当一轮结束时：弃掉刺耳之声。",,,,,,,
1166,远古恶魔,,征兆,<b>显现</b> - 在当前密谋上放置1个毁灭标记。本效果可以导致当前密谋推进。,黑暗势力向你涌来。如果你不尽快行动，一个可怕的阴谋将会得逞。,,,,,,
1167,地窖寒风,,危险,<b>显现</b> - 检定[willpower](4)。如果你检定失败，选择并弃掉1个你控制的支援(如果你不能，则改为受到2点伤害)。,反常的寒冷要冻住你的灵魂。,,,,,,
1168,朦胧之雾,,危险,"<b>显现</b> - 附属到你所在地点。每个地点仅限1张。
    所附属地点的隐藏值+2。
    <b>强制</b> - 所附属地点被成功调查后：弃掉朦胧之雾。",,,,,,,
1169,祭司,,类人. 异教徒,"<b>生成</b> - 任意无人地点。
    <b>强制</b> - 在祭司入场后：在祭司上放置1个毁灭标记。",这不过是微不足道的祭品。,,,,,,
1170,密会巫师,,类人. 异教徒,"<b>生成</b> - 任意无人地点。
    反击。
    <b>强制</b> - 当神话阶段结束时：在密会巫师上放置1个毁灭标记。",,,,,,,
1171,神秘咏唱,,巫术,<b>显现</b> - 在最近的一个[[异教徒]]敌人上放置2个毁灭标记。如果场上没有[[异教徒]]敌人，查找遭遇牌库及弃牌堆，从中找出并抽取一个[[异教徒]]敌人(混洗遭遇牌库)。,,,,,,,
1172,狩猎中的夜魇,,怪物. 夜魇,"猎手。
    调查员尝试躲避狩猎中的夜魇时，揭示的每个混乱标记的负值修正翻倍。","……它们没有可以微笑的面孔，在本该是脸的位置只有一片空白，意味深长。
    <cite>H. P. 洛夫克拉夫特</cite>",,,,,,
1173,乘着黑暗之翼,,,<b>显现</b> - 检定[agility](4)。如果你检定失败，受到1点伤害和1点恐惧。然后，与每个和你交战的非[[夜魇]]敌人解除交战，并移动到一个[[中心]]地点。,一只夜魇俯冲下来，用它利爪般的手抓住了你，将你带入夜空。,,,,,,
1174,上锁的门,,障碍,"<b>显现</b> - 附属到线索最多且没有附属上锁的门的地点。
    附属的地点不能被调查。
    [action]：检定[combat](4)以破门而入或[agility](4)以撬开门锁。如果你检定成功，弃掉上锁的门.",,,,,,,
1175,尖叫的拜亚基,,怪物. 拜亚基,"<b>猎物</b> - 剩余神智值最低。
    猎手。
    与剩余神智值在4或以下的调查员交战时，尖叫的拜亚基得到+1攻击和+1躲避。",,,,,,,
1176,黄色印记,,征兆,<b>显现</b> - 检定[willpower](4)。如果你检定失败，受到2点恐惧并查找你的牌库，找出1张[[疯狂]]弱点。抽取该卡牌，并混洗你的牌库。,他们缓缓朝我走来，如同我已经把他们忘却，而我终于开始理解这声音.它说道：“你找到黄色印记了吗？”——罗伯特·W·钱伯斯，《黄色印记》,,,,,,
1177,伊斯观测者,,怪物. 伊斯,"<b>猎物</b> - 手牌最少。
    <b>强制</b> - 在伊斯观测者攻击你时：从你的手中随机弃掉1张卡牌。如果你不能，伊斯观测者该次攻击造成+1伤害和+1恐惧。",,,,,,,
1178,提供力量,,契约,"险境。
    <b>显现</b> - 你必须(选择以下一项)：抽取2张卡牌并在当前密谋上放置2个毁灭标记(本效果可以导致当前密谋推进)，或者受到2点恐惧.",脑海中的一个声音向你提供力量……但你需要付出代价。,,,,,,
1179,坚韧的黑山羊幼崽,,怪物. 黑山羊幼崽,"<b>猎物</b> - [agility]最低。
    <b>强制</b> - 当一轮结束时：坚韧的黑山羊幼崽治愈2点伤害。",树木颤动，树叶在我们四周飘落。大地震动，巨大蹄足所发出的轰鸣声已然迫近……,,,,,,
1180,黑山羊眷族,,类人. 怪物,"猎手。反击。
    <b>强制</b> - 在黑山羊眷族被击败时：每位在本地点的调查员受到1点恐惧。",这怪物可怕又优雅，是与异世界恐怖之物渎神交易的产物。,,,,,,
1181,年幼的深潜者,,类人. 怪物. 深潜者,"<b>猎物</b> - [combat]最低。
    猎手。
    <b>强制</b> - 年幼的深潜者与你交战后：受到1点恐惧。",,,,,,,
